feature,coefficient
sentence_position,-0.8202583395812869
bert_surprisal_std,0.5587760931739446
gpt2_surprisal_var,-0.545294420300276
gpt2_surprisal_sum,0.46146024564136273
bert_surprisal_var,-0.4302494585927921
sentence_position_norm,0.3185833811074064
noun_ratio,0.30540902371757433
named_entity_density,0.2395537424556539
lexical_density,-0.22165957470489
gpt2_surprisal_std,0.19897394440698632
gpt2_surprisal_max,0.19419369728636515
gpt2_surprisal_mean,-0.17152846489123758
bert_surprisal_mean,-0.16093536963210106
sentence_length_words,-0.13335630234915405
type_token_ratio,0.12271055891396787
bert_surprisal_min,0.11364339168320389
verb_ratio,0.10214704132321614
gpt2_surprisal_min,-0.09754885373843614
adj_ratio,0.07331813864029273
noun_verb_ratio,-0.07210429918241204
