feature,coefficient
gpt2_surprisal_var,-0.815004614613935
sentence_position,-0.7933572212217047
gpt2_surprisal_sum,0.6210978479721753
gpt2_surprisal_std,0.5021368794400141
bert_surprisal_std,0.35814607603091386
gpt2_surprisal_mean,-0.29642041159218
bert_surprisal_sum,-0.29458095093881353
bert_surprisal_var,-0.29149950907869376
sentence_position_norm,0.2586870216080392
noun_ratio,0.25329034594645966
lexical_density,-0.24311392870769943
gpt2_surprisal_max,0.2431128165647021
named_entity_density,0.24299575295130807
gpt2_surprisal_min,-0.19274283250143168
verb_ratio,0.14000822019394635
bert_surprisal_mean,0.13758374722155967
sentence_length_words,-0.10433666288988482
pronoun_ratio,-0.07407062606927373
type_token_ratio,0.06692445387073752
contrast_marker_ratio,-0.05524194678681193
